start_age,cause,year,number,rate
0,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour  [D00-D48]",2012,3,1
0,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour  [D00-D48]",2013,3,1
0,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour  [D00-D48]",2014,5,1
0,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour  [D00-D48]",2015,7,2
0,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour  [D00-D48]",2016,3,1
0,Anaemias  [D50-D64],2012,0,0
0,Anaemias  [D50-D64],2013,9,2
0,Anaemias  [D50-D64],2014,1,0
0,Anaemias  [D50-D64],2015,0,0
0,Anaemias  [D50-D64],2016,0,0
0,Diabetes mellitus  [E10-E14],2012,1,0
0,Diabetes mellitus  [E10-E14],2013,1,0
0,Diabetes mellitus  [E10-E14],2014,0,0
0,Diabetes mellitus  [E10-E14],2015,0,0
0,Diabetes mellitus  [E10-E14],2016,0,0
0,Nutritional deficiencies  [E40-E64],2012,2,1
0,Nutritional deficiencies  [E40-E64],2013,1,0
0,Nutritional deficiencies  [E40-E64],2014,1,0
0,Nutritional deficiencies  [E40-E64],2015,0,0
0,Nutritional deficiencies  [E40-E64],2016,0,0
0,"Meningitis  [G00, G03]",2012,2,1
0,"Meningitis  [G00, G03]",2013,8,2
0,"Meningitis  [G00, G03]",2014,8,2
0,"Meningitis  [G00, G03]",2015,5,1
0,"Meningitis  [G00, G03]",2016,6,2
0,Parkinson's disease  [G20-G21],2012,0,0
0,Parkinson's disease  [G20-G21],2013,0,0
0,Parkinson's disease  [G20-G21],2014,0,0
0,Parkinson's disease  [G20-G21],2015,0,0
0,Parkinson's disease  [G20-G21],2016,0,0
0,Alzheimer's disease  [G30],2012,0,0
0,Alzheimer's disease  [G30],2013,0,0
0,Alzheimer's disease  [G30],2014,0,0
0,Alzheimer's disease  [G30],2015,0,0
0,Alzheimer's disease  [G30],2016,0,0
0,Major cardiovascular diseases  [I00-I78],2012,14,4
0,Major cardiovascular diseases  [I00-I78],2013,13,3
0,Major cardiovascular diseases  [I00-I78],2014,18,5
0,Major cardiovascular diseases  [I00-I78],2015,16,4
0,Major cardiovascular diseases  [I00-I78],2016,13,3
0,Other disorders of circulatory system  [I80-I99],2012,1,0
0,Other disorders of circulatory system  [I80-I99],2013,0,0
0,Other disorders of circulatory system  [I80-I99],2014,0,0
0,Other disorders of circulatory system  [I80-I99],2015,0,0
0,Other disorders of circulatory system  [I80-I99],2016,0,0
0,Influenza and pneumonia  [J09-J18],2012,11,3
0,Influenza and pneumonia  [J09-J18],2013,7,2
0,Influenza and pneumonia  [J09-J18],2014,10,3
0,Influenza and pneumonia  [J09-J18],2015,8,2
0,Influenza and pneumonia  [J09-J18],2016,12,3
0,Other acute lower respiratory infections  [J20-J22],2012,3,1
0,Other acute lower respiratory infections  [J20-J22],2013,5,1
0,Other acute lower respiratory infections  [J20-J22],2014,3,1
0,Other acute lower respiratory infections  [J20-J22],2015,2,1
0,Other acute lower respiratory infections  [J20-J22],2016,2,1
0,Chronic lower respiratory diseases  [J40-J47],2012,0,0
0,Chronic lower respiratory diseases  [J40-J47],2013,1,0
0,Chronic lower respiratory diseases  [J40-J47],2014,0,0
0,Chronic lower respiratory diseases  [J40-J47],2015,0,0
0,Chronic lower respiratory diseases  [J40-J47],2016,0,0
0,"Pneumoconioses and chemical effects  [J60-J66, J68]",2012,0,0
0,"Pneumoconioses and chemical effects  [J60-J66, J68]",2013,0,0
0,"Pneumoconioses and chemical effects  [J60-J66, J68]",2014,0,0
0,"Pneumoconioses and chemical effects  [J60-J66, J68]",2015,0,0
0,"Pneumoconioses and chemical effects  [J60-J66, J68]",2016,0,0
0,Pneumonitis due to solids and liquids  [J69],2012,2,1
0,Pneumonitis due to solids and liquids  [J69],2013,0,0
0,Pneumonitis due to solids and liquids  [J69],2014,0,0
0,Pneumonitis due to solids and liquids  [J69],2015,0,0
0,Pneumonitis due to solids and liquids  [J69],2016,0,0
0,"Other diseases of respiratory system  [J00-J06, J30-J39, J67, J70-J98]",2012,3,1
0,"Other diseases of respiratory system  [J00-J06, J30-J39, J67, J70-J98]",2013,1,0
0,"Other diseases of respiratory system  [J00-J06, J30-J39, J67, J70-J98]",2014,5,1
0,"Other diseases of respiratory system  [J00-J06, J30-J39, J67, J70-J98]",2015,5,1
0,"Other diseases of respiratory system  [J00-J06, J30-J39, J67, J70-J98]",2016,4,1
0,Peptic ulcer  [K25-K28],2012,0,0
0,Peptic ulcer  [K25-K28],2013,0,0
0,Peptic ulcer  [K25-K28],2014,0,0
0,Peptic ulcer  [K25-K28],2015,0,0
0,Peptic ulcer  [K25-K28],2016,0,0
0,Diseases of appendix  [K35-K38],2012,1,0
0,Diseases of appendix  [K35-K38],2013,0,0
0,Diseases of appendix  [K35-K38],2014,0,0
0,Diseases of appendix  [K35-K38],2015,1,0
0,Diseases of appendix  [K35-K38],2016,0,0
0,Hernia  [K40-K46],2012,0,0
0,Hernia  [K40-K46],2013,0,0
0,Hernia  [K40-K46],2014,0,0
0,Hernia  [K40-K46],2015,0,0
0,Hernia  [K40-K46],2016,0,0
0,"Chronic liver disease and cirrhosis  [K70, K73-K74]",2012,0,0
0,"Chronic liver disease and cirrhosis  [K70, K73-K74]",2013,1,0
0,"Chronic liver disease and cirrhosis  [K70, K73-K74]",2014,0,0
0,"Chronic liver disease and cirrhosis  [K70, K73-K74]",2015,0,0
0,"Chronic liver disease and cirrhosis  [K70, K73-K74]",2016,0,0
0,Cholelithiasis and other disorders of gallbladder  [K80-K82],2012,0,0
0,Cholelithiasis and other disorders of gallbladder  [K80-K82],2013,0,0
0,Cholelithiasis and other disorders of gallbladder  [K80-K82],2014,0,0
0,Cholelithiasis and other disorders of gallbladder  [K80-K82],2015,0,0
0,Cholelithiasis and other disorders of gallbladder  [K80-K82],2016,0,0
0,"Nephritis, nephrotic syndrome and nephrosis  [N00-N07, N17-N19, N25-N27]",2012,0,0
0,"Nephritis, nephrotic syndrome and nephrosis  [N00-N07, N17-N19, N25-N27]",2013,0,0
0,"Nephritis, nephrotic syndrome and nephrosis  [N00-N07, N17-N19, N25-N27]",2014,1,0
0,"Nephritis, nephrotic syndrome and nephrosis  [N00-N07, N17-N19, N25-N27]",2015,0,0
0,"Nephritis, nephrotic syndrome and nephrosis  [N00-N07, N17-N19, N25-N27]",2016,0,0
0,"Infections of kidney  [N10-N12, N13.6, N15.1]",2012,0,0
0,"Infections of kidney  [N10-N12, N13.6, N15.1]",2013,0,0
0,"Infections of kidney  [N10-N12, N13.6, N15.1]",2014,0,0
0,"Infections of kidney  [N10-N12, N13.6, N15.1]",2015,1,0
0,"Infections of kidney  [N10-N12, N13.6, N15.1]",2016,0,0
0,Hyperplasia of prostate  [N40],2012,0,0
0,Hyperplasia of prostate  [N40],2013,0,0
0,Hyperplasia of prostate  [N40],2014,0,0
0,Hyperplasia of prostate  [N40],2015,0,0
0,Hyperplasia of prostate  [N40],2016,0,0
0,Inflammatory diseases of female pelvic organs  [N70-N76],2012,0,0
0,Inflammatory diseases of female pelvic organs  [N70-N76],2013,0,0
0,Inflammatory diseases of female pelvic organs  [N70-N76],2014,0,0
0,Inflammatory diseases of female pelvic organs  [N70-N76],2015,0,0
0,Inflammatory diseases of female pelvic organs  [N70-N76],2016,0,0
0,"Pregnancy, childbirth and the puerperium  [O00-O99]",2012,0,0
0,"Pregnancy, childbirth and the puerperium  [O00-O99]",2013,0,0
0,"Pregnancy, childbirth and the puerperium  [O00-O99]",2014,0,0
0,"Pregnancy, childbirth and the puerperium  [O00-O99]",2015,0,0
0,"Pregnancy, childbirth and the puerperium  [O00-O99]",2016,0,0
0,Certain conditions originating in the perinatal period  [P00-P96],2012,1070,284
0,Certain conditions originating in the perinatal period  [P00-P96],2013,1112,291
0,Certain conditions originating in the perinatal period  [P00-P96],2014,1092,287
0,Certain conditions originating in the perinatal period  [P00-P96],2015,1058,276
0,Certain conditions originating in the perinatal period  [P00-P96],2016,1021,264
0,"Congenital malformations, deformations and chromosomal abnormalities  [Q00-Q99]",2012,413,110
0,"Congenital malformations, deformations and chromosomal abnormalities  [Q00-Q99]",2013,433,113
0,"Congenital malformations, deformations and chromosomal abnormalities  [Q00-Q99]",2014,406,107
0,"Congenital malformations, deformations and chromosomal abnormalities  [Q00-Q99]",2015,371,97
0,"Congenital malformations, deformations and chromosomal abnormalities  [Q00-Q99]",2016,404,105
0,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified  [R00-R99]",2012,129,34
0,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified  [R00-R99]",2013,145,38
0,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified  [R00-R99]",2014,130,34
0,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified  [R00-R99]",2015,137,36
0,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified  [R00-R99]",2016,171,44
0,All other diseases (residual) 28,2012,71,19
0,All other diseases (residual) 28,2013,73,19
0,All other diseases (residual) 28,2014,51,13
0,All other diseases (residual) 28,2015,58,15
0,All other diseases (residual) 28,2016,63,16
0,"Accidents (unintentional injuries)  [V01-X59, Y85-Y86]",2012,41,11
0,"Accidents (unintentional injuries)  [V01-X59, Y85-Y86]",2013,32,8
0,"Accidents (unintentional injuries)  [V01-X59, Y85-Y86]",2014,34,9
0,"Accidents (unintentional injuries)  [V01-X59, Y85-Y86]",2015,35,9
0,"Accidents (unintentional injuries)  [V01-X59, Y85-Y86]",2016,25,7
0,"Intentional self-harm (suicide)  [X60-X84, Y87.0]",2012,0,0
0,"Intentional self-harm (suicide)  [X60-X84, Y87.0]",2013,0,0
0,"Intentional self-harm (suicide)  [X60-X84, Y87.0]",2014,0,0
0,"Intentional self-harm (suicide)  [X60-X84, Y87.0]",2015,0,0
0,"Intentional self-harm (suicide)  [X60-X84, Y87.0]",2016,0,0
0,"Assault (homicide)  [X85-Y09, Y87.1]",2012,5,1
0,"Assault (homicide)  [X85-Y09, Y87.1]",2013,4,1
0,"Assault (homicide)  [X85-Y09, Y87.1]",2014,3,1
0,"Assault (homicide)  [X85-Y09, Y87.1]",2015,6,2
0,"Assault (homicide)  [X85-Y09, Y87.1]",2016,1,0
0,"Legal intervention  [Y35, Y89.0]",2012,0,0
0,"Legal intervention  [Y35, Y89.0]",2013,0,0
0,"Legal intervention  [Y35, Y89.0]",2014,0,0
0,"Legal intervention  [Y35, Y89.0]",2015,0,0
0,"Legal intervention  [Y35, Y89.0]",2016,0,0
0,"Events of undetermined intent  [Y10-Y34, Y87.2, Y89.9]",2012,2,1
0,"Events of undetermined intent  [Y10-Y34, Y87.2, Y89.9]",2013,4,1
0,"Events of undetermined intent  [Y10-Y34, Y87.2, Y89.9]",2014,2,1
0,"Events of undetermined intent  [Y10-Y34, Y87.2, Y89.9]",2015,4,1
0,"Events of undetermined intent  [Y10-Y34, Y87.2, Y89.9]",2016,2,1
0,"Operations of war and their sequelae  [Y36, Y89.1]",2012,0,0
0,"Operations of war and their sequelae  [Y36, Y89.1]",2013,0,0
0,"Operations of war and their sequelae  [Y36, Y89.1]",2014,0,0
0,"Operations of war and their sequelae  [Y36, Y89.1]",2015,0,0
0,"Operations of war and their sequelae  [Y36, Y89.1]",2016,0,0
0,"Complications of medical and surgical care  [Y40-Y84, Y88]",2012,0,0
0,"Complications of medical and surgical care  [Y40-Y84, Y88]",2013,2,1
0,"Complications of medical and surgical care  [Y40-Y84, Y88]",2014,0,0
0,"Complications of medical and surgical care  [Y40-Y84, Y88]",2015,0,0
0,"Complications of medical and surgical care  [Y40-Y84, Y88]",2016,1,0
1,"Total, all causes of death  [A00-Y89]",2012,263,17
1,"Total, all causes of death  [A00-Y89]",2013,317,21
1,"Total, all causes of death  [A00-Y89]",2014,260,17
1,"Total, all causes of death  [A00-Y89]",2015,289,19
1,"Total, all causes of death  [A00-Y89]",2016,287,19
1,Salmonella infections  [A01-A02],2012,0,0
1,Salmonella infections  [A01-A02],2013,0,0
1,Salmonella infections  [A01-A02],2014,0,0
1,Salmonella infections  [A01-A02],2015,0,0
1,Salmonella infections  [A01-A02],2016,0,0
1,"Shigellosis and amoebiasis  [A03, A06]",2012,0,0
1,"Shigellosis and amoebiasis  [A03, A06]",2013,0,0
1,"Shigellosis and amoebiasis  [A03, A06]",2014,0,0
1,"Shigellosis and amoebiasis  [A03, A06]",2015,0,0
1,"Shigellosis and amoebiasis  [A03, A06]",2016,0,0
1,"Certain other intestinal infections  [A04, A07-A09]",2012,2,0
1,"Certain other intestinal infections  [A04, A07-A09]",2013,1,0
1,"Certain other intestinal infections  [A04, A07-A09]",2014,2,0
1,"Certain other intestinal infections  [A04, A07-A09]",2015,3,0
1,"Certain other intestinal infections  [A04, A07-A09]",2016,1,0
1,Tuberculosis  [A16-A19],2012,0,0
1,Tuberculosis  [A16-A19],2013,0,0
1,Tuberculosis  [A16-A19],2014,0,0
1,Tuberculosis  [A16-A19],2015,0,0
1,Tuberculosis  [A16-A19],2016,0,0
1,Whooping cough  [A37],2012,0,0
1,Whooping cough  [A37],2013,0,0
1,Whooping cough  [A37],2014,0,0
1,Whooping cough  [A37],2015,0,0
1,Whooping cough  [A37],2016,0,0
1,"Scarlet fever and erysipelas  [A38, A46]",2012,0,0
1,"Scarlet fever and erysipelas  [A38, A46]",2013,0,0
1,"Scarlet fever and erysipelas  [A38, A46]",2014,0,0
1,"Scarlet fever and erysipelas  [A38, A46]",2015,0,0
1,"Scarlet fever and erysipelas  [A38, A46]",2016,0,0
1,Meningococcal infection  [A39],2012,0,0
1,Meningococcal infection  [A39],2013,1,0
1,Meningococcal infection  [A39],2014,2,0
1,Meningococcal infection  [A39],2015,0,0
1,Meningococcal infection  [A39],2016,3,0
1,Sepsis  [A40-A41],2012,3,0
1,Sepsis  [A40-A41],2013,4,0
1,Sepsis  [A40-A41],2014,4,0
1,Sepsis  [A40-A41],2015,1,0
1,Sepsis  [A40-A41],2016,2,0
1,Syphilis  [A50-A53],2012,0,0
1,Syphilis  [A50-A53],2013,0,0
1,Syphilis  [A50-A53],2014,0,0
1,Syphilis  [A50-A53],2015,0,0
1,Syphilis  [A50-A53],2016,0,0
1,Acute poliomyelitis  [A80],2012,0,0
1,Acute poliomyelitis  [A80],2013,0,0
1,Acute poliomyelitis  [A80],2014,0,0
1,Acute poliomyelitis  [A80],2015,0,0
1,Acute poliomyelitis  [A80],2016,0,0
1,"Arthropod-borne viral encephalitis  [A83-A84, A85.2]",2012,0,0
1,"Arthropod-borne viral encephalitis  [A83-A84, A85.2]",2013,0,0
1,"Arthropod-borne viral encephalitis  [A83-A84, A85.2]",2014,0,0
1,"Arthropod-borne viral encephalitis  [A83-A84, A85.2]",2015,0,0
1,"Arthropod-borne viral encephalitis  [A83-A84, A85.2]",2016,0,0
1,Measles  [B05],2012,0,0
1,Measles  [B05],2013,0,0
1,Measles  [B05],2014,0,0
1,Measles  [B05],2015,0,0
1,Measles  [B05],2016,0,0
1,Viral hepatitis  [B15-B19],2012,0,0
1,Viral hepatitis  [B15-B19],2013,1,0
1,Viral hepatitis  [B15-B19],2014,0,0
1,Viral hepatitis  [B15-B19],2015,0,0
1,Viral hepatitis  [B15-B19],2016,0,0
1,Human immunodeficiency virus [HIV] disease  [B20-B24],2012,0,0
1,Human immunodeficiency virus [HIV] disease  [B20-B24],2013,0,0
1,Human immunodeficiency virus [HIV] disease  [B20-B24],2014,0,0
1,Human immunodeficiency virus [HIV] disease  [B20-B24],2015,0,0
1,Human immunodeficiency virus [HIV] disease  [B20-B24],2016,1,0
1,Malaria  [B50-B54],2012,0,0
1,Malaria  [B50-B54],2013,0,0
1,Malaria  [B50-B54],2014,0,0
1,Malaria  [B50-B54],2015,0,0
1,Malaria  [B50-B54],2016,0,0
1,Other and unspecified infectious and parasitic diseases and their sequelae 27,2012,6,0
1,Other and unspecified infectious and parasitic diseases and their sequelae 27,2013,10,1
1,Other and unspecified infectious and parasitic diseases and their sequelae 27,2014,7,1
1,Other and unspecified infectious and parasitic diseases and their sequelae 27,2015,7,1
1,Other and unspecified infectious and parasitic diseases and their sequelae 27,2016,3,0
1,Malignant neoplasms  [C00-C97],2012,23,2
1,Malignant neoplasms  [C00-C97],2013,40,3
1,Malignant neoplasms  [C00-C97],2014,32,2
1,Malignant neoplasms  [C00-C97],2015,32,2
1,Malignant neoplasms  [C00-C97],2016,37,2
1,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour  [D00-D48]",2012,3,0
1,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour  [D00-D48]",2013,2,0
1,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour  [D00-D48]",2014,2,0
1,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour  [D00-D48]",2015,4,0
1,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour  [D00-D48]",2016,3,0
1,Anaemias  [D50-D64],2012,2,0
1,Anaemias  [D50-D64],2013,6,0
1,Anaemias  [D50-D64],2014,0,0
1,Anaemias  [D50-D64],2015,3,0
1,Anaemias  [D50-D64],2016,0,0
1,Diabetes mellitus  [E10-E14],2012,1,0
1,Diabetes mellitus  [E10-E14],2013,0,0
1,Diabetes mellitus  [E10-E14],2014,0,0
1,Diabetes mellitus  [E10-E14],2015,0,0
1,Diabetes mellitus  [E10-E14],2016,0,0
1,Nutritional deficiencies  [E40-E64],2012,1,0
1,Nutritional deficiencies  [E40-E64],2013,0,0
1,Nutritional deficiencies  [E40-E64],2014,0,0
1,Nutritional deficiencies  [E40-E64],2015,0,0
1,Nutritional deficiencies  [E40-E64],2016,0,0
1,"Meningitis  [G00, G03]",2012,1,0
1,"Meningitis  [G00, G03]",2013,3,0
1,"Meningitis  [G00, G03]",2014,2,0
1,"Meningitis  [G00, G03]",2015,0,0
1,"Meningitis  [G00, G03]",2016,0,0
1,Parkinson's disease  [G20-G21],2012,0,0
1,Parkinson's disease  [G20-G21],2013,0,0
1,Parkinson's disease  [G20-G21],2014,0,0
1,Parkinson's disease  [G20-G21],2015,0,0
1,Parkinson's disease  [G20-G21],2016,0,0
1,Alzheimer's disease  [G30],2012,0,0
1,Alzheimer's disease  [G30],2013,0,0
1,Alzheimer's disease  [G30],2014,0,0
1,Alzheimer's disease  [G30],2015,0,0
1,Alzheimer's disease  [G30],2016,0,0
1,Major cardiovascular diseases  [I00-I78],2012,9,1
1,Major cardiovascular diseases  [I00-I78],2013,12,1
1,Major cardiovascular diseases  [I00-I78],2014,12,1
1,Major cardiovascular diseases  [I00-I78],2015,13,1
1,Major cardiovascular diseases  [I00-I78],2016,8,1
1,Other disorders of circulatory system  [I80-I99],2012,0,0
1,Other disorders of circulatory system  [I80-I99],2013,0,0
1,Other disorders of circulatory system  [I80-I99],2014,0,0
1,Other disorders of circulatory system  [I80-I99],2015,0,0
1,Other disorders of circulatory system  [I80-I99],2016,0,0
1,Influenza and pneumonia  [J09-J18],2012,12,1
1,Influenza and pneumonia  [J09-J18],2013,14,1
1,Influenza and pneumonia  [J09-J18],2014,11,1
1,Influenza and pneumonia  [J09-J18],2015,9,1
1,Influenza and pneumonia  [J09-J18],2016,14,1
1,Other acute lower respiratory infections  [J20-J22],2012,2,0
1,Other acute lower respiratory infections  [J20-J22],2013,2,0
1,Other acute lower respiratory infections  [J20-J22],2014,2,0
1,Other acute lower respiratory infections  [J20-J22],2015,2,0
1,Other acute lower respiratory infections  [J20-J22],2016,0,0
1,Chronic lower respiratory diseases  [J40-J47],2012,1,0
1,Chronic lower respiratory diseases  [J40-J47],2013,3,0
1,Chronic lower respiratory diseases  [J40-J47],2014,4,0
1,Chronic lower respiratory diseases  [J40-J47],2015,0,0
1,Chronic lower respiratory diseases  [J40-J47],2016,2,0
1,"Pneumoconioses and chemical effects  [J60-J66, J68]",2012,0,0
1,"Pneumoconioses and chemical effects  [J60-J66, J68]",2013,0,0
1,"Pneumoconioses and chemical effects  [J60-J66, J68]",2014,0,0
1,"Pneumoconioses and chemical effects  [J60-J66, J68]",2015,0,0
1,"Pneumoconioses and chemical effects  [J60-J66, J68]",2016,0,0
1,Pneumonitis due to solids and liquids  [J69],2012,1,0
1,Pneumonitis due to solids and liquids  [J69],2013,1,0
1,Pneumonitis due to solids and liquids  [J69],2014,1,0
1,Pneumonitis due to solids and liquids  [J69],2015,1,0
1,Pneumonitis due to solids and liquids  [J69],2016,1,0
1,"Other diseases of respiratory system  [J00-J06, J30-J39, J67, J70-J98]",2012,3,0
1,"Other diseases of respiratory system  [J00-J06, J30-J39, J67, J70-J98]",2013,3,0
1,"Other diseases of respiratory system  [J00-J06, J30-J39, J67, J70-J98]",2014,6,0
1,"Other diseases of respiratory system  [J00-J06, J30-J39, J67, J70-J98]",2015,5,0
1,"Other diseases of respiratory system  [J00-J06, J30-J39, J67, J70-J98]",2016,3,0
1,Peptic ulcer  [K25-K28],2012,0,0
1,Peptic ulcer  [K25-K28],2013,0,0
1,Peptic ulcer  [K25-K28],2014,0,0
1,Peptic ulcer  [K25-K28],2015,0,0
1,Peptic ulcer  [K25-K28],2016,0,0
1,Diseases of appendix  [K35-K38],2012,0,0
1,Diseases of appendix  [K35-K38],2013,1,0
1,Diseases of appendix  [K35-K38],2014,1,0
1,Diseases of appendix  [K35-K38],2015,0,0
1,Diseases of appendix  [K35-K38],2016,0,0
1,Hernia  [K40-K46],2012,0,0
1,Hernia  [K40-K46],2013,0,0
1,Hernia  [K40-K46],2014,0,0
1,Hernia  [K40-K46],2015,1,0
1,Hernia  [K40-K46],2016,0,0
1,"Chronic liver disease and cirrhosis  [K70, K73-K74]",2012,1,0
1,"Chronic liver disease and cirrhosis  [K70, K73-K74]",2013,0,0
1,"Chronic liver disease and cirrhosis  [K70, K73-K74]",2014,0,0
1,"Chronic liver disease and cirrhosis  [K70, K73-K74]",2015,0,0
1,"Chronic liver disease and cirrhosis  [K70, K73-K74]",2016,0,0
1,Cholelithiasis and other disorders of gallbladder  [K80-K82],2012,0,0
1,Cholelithiasis and other disorders of gallbladder  [K80-K82],2013,0,0
1,Cholelithiasis and other disorders of gallbladder  [K80-K82],2014,0,0
1,Cholelithiasis and other disorders of gallbladder  [K80-K82],2015,0,0
1,Cholelithiasis and other disorders of gallbladder  [K80-K82],2016,0,0
1,"Nephritis, nephrotic syndrome and nephrosis  [N00-N07, N17-N19, N25-N27]",2012,0,0
1,"Nephritis, nephrotic syndrome and nephrosis  [N00-N07, N17-N19, N25-N27]",2013,0,0
1,"Nephritis, nephrotic syndrome and nephrosis  [N00-N07, N17-N19, N25-N27]",2014,1,0
1,"Nephritis, nephrotic syndrome and nephrosis  [N00-N07, N17-N19, N25-N27]",2015,0,0
1,"Nephritis, nephrotic syndrome and nephrosis  [N00-N07, N17-N19, N25-N27]",2016,1,0
