Canada, Period total fertility rates by birth order and period total fertility rates by birth order by age 40
Last modified: 09/03/2016
Year       TFR      TFR1      TFR2      TFR3      TFR4     TFR5p     TFR40   TFR40_1   TFR40_2   TFR40_3   TFR40_4  TFR40_5p
1994     1.685     0.755     0.586     0.235     0.073     0.038     1.662     0.749     0.579     0.230     0.070     0.034
1995     1.670     0.749     0.580     0.230     0.072     0.038     1.645     0.743     0.573     0.225     0.069     0.035
1996     1.631     0.729     0.569     0.225     0.071     0.038     1.605     0.723     0.561     0.220     0.068     0.034
1997     1.567     0.697     0.553     0.213     0.067     0.037     1.540     0.690     0.545     0.208     0.064     0.033
1998     1.555     0.693     0.552     0.207     0.065     0.037     1.528     0.687     0.544     0.202     0.062     0.033
1999     1.543     0.695     0.543     0.205     0.064     0.037     1.515     0.688     0.533     0.199     0.061     0.033
2000     1.507     0.682     0.525     0.200     0.063     0.037     1.476     0.674     0.515     0.194     0.060     0.033
2001     1.535     0.682     0.552     0.201     0.063     0.037     1.504     0.675     0.541     0.195     0.059     0.033
2002     1.512     0.679     0.536     0.197     0.063     0.038     1.480     0.671     0.525     0.191     0.059     0.034
2003     1.541     0.701     0.537     0.201     0.063     0.039     1.507     0.692     0.526     0.195     0.059     0.035
2004     1.547     0.706     0.541     0.200     0.063     0.038     1.511     0.696     0.529     0.193     0.060     0.034
2005     1.565     0.709     0.549     0.203     0.065     0.040     1.528     0.699     0.536     0.196     0.061     0.036
2006     1.613     0.725     0.572     0.208     0.067     0.041     1.573     0.714     0.558     0.200     0.064     0.037
2007     1.659     0.739     0.586     0.220     0.070     0.044     1.616     0.728     0.571     0.211     0.066     0.039
2008     1.685     0.744     0.594     0.227     0.074     0.046     1.638     0.732     0.578     0.217     0.070     0.041
2009     1.675     0.738     0.587     0.228     0.076     0.047     1.625     0.725     0.570     0.218     0.071     0.042
2010     1.638     0.709     0.578     0.227     0.075     0.048     1.585     0.695     0.560     0.216     0.071     0.043
2011     1.618     0.700     0.575     0.224     0.073     0.047     1.564     0.686     0.556     0.213     0.068     0.042
